learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
12700.0,0.5,4.827872746520572E-9,12700.0,79.4,59.52657885637045,-38.255033557046936,54.52538631346579,12700.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
12800.0,0.5,4.827872746520572E-9,12800.0,79.7,59.79561118593044,-38.095238095238045,55.48245614035088,12800.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
12900.0,0.5,4.827872746520572E-9,12900.0,77.60000000000001,55.25137142560341,-51.35135135135131,54.28571428571429,12900.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
13000.0,0.5,4.827872746520572E-9,13000.0,79.4,58.812356293112074,-44.05594405594401,58.29959514170041,13000.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
13100.0,0.515625,5.004953386055098E-9,13100.0,80.5,61.01715245292072,-46.61654135338341,59.87654320987655,13100.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
13200.0,0.515625,5.004953386055098E-9,13200.0,81.8,63.602475031697836,-44.44444444444448,63.30645161290322,13200.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
13300.0,0.515625,5.004953386055098E-9,13300.0,80.60000000000001,61.04589757079005,-64.40677966101691,61.20000000000001,13300.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
13400.0,0.53125,5.1820340255896245E-9,13400.0,82.1,64.12825651302605,-73.78640776699037,62.93995859213249,13400.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
13500.0,0.53125,5.1820340255896245E-9,13500.0,80.5,60.994383191179544,-80.55555555555554,58.4221748400853,13500.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
13600.0,0.53125,5.1820340255896245E-9,13600.0,83.0,66.04332871256277,-53.15315315315321,66.06786427145708,13600.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
13700.0,0.53125,5.1820340255896245E-9,13700.0,83.3,66.66719892696324,-56.07476635514025,66.26262626262626,13700.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
13800.0,0.546875,5.359114665124151E-9,13800.0,84.8,69.5847923961981,-43.39622641509438,68.65979381443297,13800.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
13900.0,0.546875,5.359114665124151E-9,13900.0,88.1,76.1931436253641,-14.423076923076938,75.15657620041753,13900.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
